contacto,categoria,subcategoria,concepto,tipo_prestacion,fecha_ingreso,domicilio_barrio,domicilio_calle,domicilio_altura,canal,genero,estado_del_contacto
00906246/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-07-31,RETIRO,"DELLA PAOLERA, CARLOS M.",299,Web,femenino,Cerrado
00906247/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-07-31,SAN NICOLÁS,URUGUAY AV.,753,Web,masculino,Cerrado
00906248/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-07-31,MATADEROS,"SCHMIDL, ULRICO",7578,Web,masculino,Abierto
00906249/18,SEGURIDAD,PRESENCIA POLICIAL,MAYOR PRESENCIA POLICIAL,REPORTE,2018-07-31,BOEDO,"GARAY, JUAN DE AV.",3700,App,femenino,Abierto
00906250/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-07-31,PALERMO,SANTA FE AV.,3307,Web,masculino,Abierto
00906251/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-07-31,PARQUE CHAS,LLERENA,2598,App,masculino,Cerrado
00906252/18,TRÁMITES Y SERVICIOS,TRÁMITES ANTE GCBA,SOLICITUD DE PAGO VOLUNTARIO DE INFRACCIONES,SERVICIO,2018-07-31,RECOLETA,SANTA FE AV.,2669,Web,masculino,Cerrado
00906253/18,TRÁMITES Y SERVICIOS,TRÁMITES ANTE GCBA,SOLICITUD DE PAGO VOLUNTARIO DE INFRACCIONES,SERVICIO,2018-07-31,PALERMO,"SCALABRINI ORTIZ, RAUL AV.",2220,Web,femenino,Abierto
00906254/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-07-31,PARQUE AVELLANEDA,"CUNNINGHAME GRAHAM, ROBERTO",1150,Web,femenino,Cerrado
00906256/18,SEGURIDAD,PRESENCIA POLICIAL,MAYOR PRESENCIA POLICIAL,REPORTE,2018-07-31,BOEDO,PAVON AV.,3735,App,femenino,Abierto
00906257/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-07-31,PARQUE CHAS,LLERENA,2493,App,masculino,Cerrado
00906258/18,TRÁMITES Y SERVICIOS,TRÁMITES ANTE GCBA,SOLICITUD DE PAGO VOLUNTARIO DE INFRACCIONES,SERVICIO,2018-07-31,SAN NICOLÁS,URUGUAY AV.,753,Web,masculino,Abierto
00906259/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-07-31,COLEGIALES,DELGADO,967,Web,femenino,Abierto
00906260/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-07-31,CABALLITO,BOGOTA,356,App,masculino,Cerrado
00906261/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-07-31,PARQUE CHAS,LLERENA,2493,App,masculino,Cerrado
00906262/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-07-31,COGHLAN,"UGARTE, MANUEL",,App,masculino,Cerrado
00906263/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-07-31,MATADEROS,"SCHMIDL, ULRICO",7578,Web,masculino,Cerrado
00906264/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-07-31,SAN NICOLÁS,URUGUAY AV.,753,Web,masculino,Cerrado
00906265/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-07-31,PARQUE CHAS,GIRIBONE,3381,App,masculino,Cerrado
00906266/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-07-31,CABALLITO,"AMBROSETTI, JUAN B.",299,App,masculino,Cerrado
00906267/18,TRÁMITES Y SERVICIOS,TRÁMITES ANTE GCBA,SOLICITUD DE PAGO VOLUNTARIO DE INFRACCIONES,SERVICIO,2018-07-31,VILLA SANTA RITA,"GONZALEZ, ELPIDIO",3227,Web,masculino,Abierto
00906268/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-07-31,SAAVEDRA,HOLMBERG,3708,Web,femenino,Abierto
00906269/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-07-31,PARQUE CHAS,ARISMENDI,2474,App,masculino,Cerrado
