periodo,fecha,desde,hasta,linea,molinete,estacion,pagos,pases_pagos,franq,total
201801,05/01/2018,17:00:00,17:15:00,LINEA_H,LINEA_H_HOSPITALES_NORTE_TURN01,HOSPITALES,27,1,0,28
201801,05/01/2018,17:00:00,17:15:00,LINEA_H,LINEA_H_HOSPITALES_SUR_TURN01,HOSPITALES,32,0,0,32
201801,05/01/2018,17:00:00,17:15:00,LINEA_H,LINEA_H_HPRIMO_NORTE_TURN02,HUMBERTO I,18,0,1,19
201801,05/01/2018,17:00:00,17:15:00,LINEA_H,LINEAH_SANTAFE_NORTE_TURN03,SANTA FE,36,0,1,37
201801,05/01/2018,17:00:00,17:15:00,LINEA_H,LINEA_H_VENEZUELA_NORTE_TURN02,VENEZUELA,14,0,0,14
201801,05/01/2018,17:00:00,17:15:00,LINEA_A,LINEA_A_ACOYTE_N_TURN01,ACOYTE,17,0,0,17
201801,05/01/2018,17:00:00,17:15:00,LINEA_A,LINEA_A_CARABOBO_E_TURN02,CARABOBO,35,0,1,36
03/2018,18:45:00,19:00:00,LINEA_D,LINEA_D_PUEYRREDON_TURN02,PUEYRREDON.D,87,0,2,89
201803,12/03/2018,18:45:00,19:00:00,LINEA_D,LINEA_D_PUEYRREDON_TURN03,PUEYRREDON.D,0,0,1,1
201803,12/03/2018,18:45:00,19:00:00,LINEA_E,LINEA_E_BOLIVAR_S_TURN03,BOLIVAR,42,0,0,42
201803,12/03/2018,18:45:00,19:00:00,LINEA_E,LINEA_E_URQUIZA_TURN01,URQUIZA,0,0,0,0
201803,12/03/2018,18:45:00,19:00:00,LINEA_E,LINEA_E_VIRREYES_TURN02,PZA. DE LOS VIRREYES,0,0,3,3
201803,12/03/2018,18:45:00,19:00:00,LINEA_H,LINEA_H_CASEROS_SUR_TURN02,CASEROS,52,0,1,53
201803,12/03/2018,18:45:00,19:00:00,LINEA_H,LINEA_H_HOSPITALES_NORTE_TURN01,HOSPITALES,22,0,0,22
201803,12/03/2018,18:45:00,19:00:00,LINEA_H,LINEA_H_PATRICIOS_TURN01,PATRICIOS,53,0,0,53
201803,12/03/2018,18:45:00,19:00:00,LINEA_H,LINEAH_SANTAFE_NORTE_TURN03,SANTA FE,43,0,1,44
201803,12/03/2018,18:45:00,19:00:00,LINEA_A,LINEA_A_ACOYTE_N_TURN01,ACOYTE,12,0,0,12
201803,12/03/2018,18:45:00,19:00:00,LINEA_A,LINEA_A_CARABOBO_O_TURN03,CARABOBO,14,0,0,14
201803,12/03/2018,18:45:00,19:00:00,LINEA_A,LINEA_A_CBARROS_N_TURN03,CASTRO BARROS,30,0,0,30
