id,titulo,categoria,tamanio,titulo2,autoridad,descripcion,frecuencia,destacado,source,detalle,que_es,cuando
115,bicicleterias,movilidad,1120,bicicleterias,Educación e Innovación,Listado de bicicleterías de la Ciudad. Incluye nombre- dirección- teléfono- pagina web- barrio y comuna.,Trimestral,,,,,
133,intervenciones peatonales,obra,1120,intervenciones peatonales,Desarrollo Urbano y Transporte,Tipos de intervenciones peatonales que se registran en la Ciudad de Buenos Aires.,Trimestral,,,,,
79,establecimientos gastronomicos,cultura,970,establecimientos gastronomicos,Educación e Innovación,Establecimientos gastronómicos inscriptos en el Registro de Prestadores Turísticos de la Ciudad Autónoma de Buenos Aires.,Trimestral,,,,,
96,productoras de eventos masivos,cultura,970,productoras de eventos masivos,Justicia y Seguridad,Personas físicas o jurídicas que desarrollan la actividad de Productoras de Eventos Masivos.,Mensual,,,,,
119,comercios con beneficios a ciclistas,movilidad,970,comercios con beneficios a ciclistas,Educación e Innovación,"Listado de comercios adheridos al programa ""Comercios Amigos de la Movilidad Saludable"" que brindan beneficios y estacionamiento para ciclistas.",Trimestral,,,,,
200,registro de fabricantes reparadores y recargadores de extintores,actividad_economica,970,registro de fabricantes- reparadores y recargadores de extintores,AGC,Registro de fabricantes- reparadores- instaladores y mantenedores de Instalaciones Fijas contra Incendios que comprende a los Sistemas de Hidrantes (mangueras)- Rociadores y Detectores.,Trimestral,,,,,
26,consulados,administracion,820,consulados,Educación e Innovación,Listado con referencia geográfica y datos de contacto de los Consulados en la Ciudad.,Eventual,,,,,
33,embajadas,administracion,820,embajadas,Educación e Innovación,Listado con referencia geográfica y datos de contacto de las Embajadas en la Ciudad.,Eventual,,,,,
58,plantas nativas de la reserva ecologica costanera sur,ambiente,820,plantas nativas de la reserva ecologica costanera sur,Ambiente y Espacio Público,Información acerca de Plantas Nativas de la Reserva Ecológica Costanera Sur.,Trimestral,,,,,
139,centros de primera infancia,salud,820,centros de primera infancia,Hábitat y Desarrollo Humano,Ubicación de los diferentes Centros de Primera Infancia que se encuentran en la Ciudad de Buenos Aires.,anual,,,,,
56,inspectores apra,ambiente,670,inspectores apra,Ambiente y Espacio Público,Registro de inspectores de la Agencia de Protección Ambiental (APRA).,Anual,,,,,
60,relojes solares,ambiente,670,relojes solares,Educación e Innovación,Ubicación geográfica de los relojes solares instalados en la vía pública.,Anual,,,,,
140,centros de salud privados,salud,670,centros de salud privados,Educación e Innovación,Nombre- teléfono y dirección de hospitales- sanatorios y clínicas privadas de la Ciudad de Buenos Aires.,Eventual,,,,,
22,barrios,administracion,520,barrios,Educación e Innovación,Límites y ubicación geográfica de los barrios de la Ciudad.,Eventual,,,,,
64,ba diversa,cultura,520,ba diversa,Educación e Innovación,Información sobre el festival que celebra la Ciudad al colectivo LGBTIQ con actividades culturales y de negocios. El festival BA Diversa cuenta con intervenciones artísticas en diferentes puntos de la ciudad.,anual,,,,,
87,iglesias,cultura,520,iglesias,Educación e Innovación,Listado de Iglesias de la Ciudad de Buenos Aires.,Eventual,,,,,
121,estacionamientos concesionados de movilidad sustentable,movilidad,520,estacionamientos concesionados de movilidad sustentable,Educación e Innovación,Listado de las playas de estacionamiento concesionadas en la Ciudad. Incluye ubicación- comuna y punto WKT para geolocalización.,Trimestral,,,,,
123,estaciones de ferrocarril,movilidad,520,estaciones de ferrocarril,Educación e Innovación,Referencia geográfica de las líneas de ferrocarril en la Ciudad.,Eventual,,,,,
128,sensores de transito,movilidad,520,sensores de transito,Desarrollo Urbano y Transporte,Información de los sensores que contabilizan el flujo de tránsito en determinadas intersecciones de la Ciudad Autónoma de Buenos Aires.,Mensual,,,,,
153,comisarias policia de la ciudad,seguridad,520,comisarias policia de la ciudad,Educación e Innovación,Mapa de las comisarías de la Metropolitana de la ciudad. Incluye dirección- barrio- comuna y circunscripción.,Anual,,,,,
158,secciones policiales,seguridad,520,secciones policiales,Educación e Innovación,Mapa de límites y área de las secciones policiales de la Ciudad.,Eventual,,,,,
165,carteles luminosos,urbanismo,520,carteles luminosos,Desarrollo Urbano y Transporte,Carteles luminosos georreferenciados que informan a través de mensajes el estado de tránsito para los usuarios que circulan por las calles de la Ciudad de Buenos Aires.,Semestral,,,,,
207,teatro colon programacion actual,cultura,520,teatro colon: programacion actual,Cultura,Registro con links al Calendario de la programación del año corriente.,eventual,,,,,
102,agenda cultural,cultura,500,agenda cultural,-,Eventos culturales organizados en la Ciudad (Cine- música- visitas guiadas- artes visuales- teatro- exposiciones- aire libre- muestras- fotografía- pintura- danza- cursos y talleres- entre otros).,-,,,,,
8,emprendedores,actividad_economica,370,emprendedores,Educación e Innovación,Nombre- tipo de emprendimiento- dirección- página web de emprendedores de la Ciudad.,Semestral,,,,,
12,empresas del distrito del diseno,actividad_economica,370,empresas del distrito del diseño,Educación e Innovación,Registro de empresas que ejercen sus actividades en el Distrito del Diseño de la Ciudad de Buenos Aires.,Semestral,,,,,
61,agencias de viajes,cultura,370,agencias de viajes,SECR General y Relaciones Internacionales,Lista de agencias de viajes inscriptas en el Registro de Prestadores Turísticos de la Ciudad Autónoma de Buenos Aires.,Anual,,,,,
71,capillas,cultura,370,capillas,Educación e Innovación,Listado de Capillas de la Ciudad de Buenos Aires.,Eventual,,,,,
84,federaciones,cultura,370,federaciones,Educación e Innovación,Listado de Federaciones y Asociaciones deportivas de la Ciudad Autónoma de Buenos Aires.,Anual,,,,,
94,organizadores de exposiciones,cultura,370,organizadores de exposiciones,SECR General y Relaciones Internacionales,Registro de organizadores de congresos y exposiciones-operadores de predios feriales y centros de convenciones.,Anual,,,,,
126,premetro,movilidad,370,premetro,Educación e Innovación,Referencia geográfica de las lineas y estaciones del premetro.,Anual,,,,,
142,centros medicos barriales,salud,370,centros medicos barriales,Educación e Innovación,Ubicación de los Centros médicos en los distintos barrios de la Ciudad.,Anual,,,,,
144,estaciones saludables,salud,370,estaciones saludables,Educación e Innovación,Listado de ubicación- días y horarios de las Estaciones Saludables.,Semestral,,,,,
147,hospitales,salud,370,hospitales,Educación e Innovación,Hospitales de la Ciudad de Buenos Aires.,Anual,,,,,
180,recoleccion de residuos solidos secos,urbanismo,370,recoleccion de residuos solidos secos,Educación e Innovación,Zonas asignadas a cada cooperativa de recuperadores urbanos para recolectar los residuos sólidos secos.,Anual,,,,,
181,registro civil,urbanismo,370,registro civil,Gobierno,Sedes del Registro Civil.,Eventual,,,,,
193,centros de salud y accion comunitaria cesac,salud,370,centros de salud y accion comunitaria (cesac),Educación e Innovación,Ubicación geográfica de los Centros de Salud y Acción Comunitaria.,Anual,,,,,
104,eventos dir. gral. de musica,cultura,262,eventos dir. gral. de musica,Cultura,Eventos programados por la Dirección General de Música,eventual,,,,,
4,centro de integracion laboral,actividad_economica,220,centro de integracion laboral,Educación e Innovación,Listado con la ubicación geográfica- el horario de atención y el teléfono de las oficinas de empleo del Gobierno de la Ciudad.,Anual,,,,,
29,dependencias y sedes del ministerio publico fiscal,administracion,220,dependencias y sedes del ministerio publico fiscal,Educación e Innovación,Listado con Dependencias y Sedes del Ministerio Público Fiscal de la Ciudad de Buenos Aires.,Anual,,,,,
